date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:41:03	109/109	---MCZ	200	added ('OK')	text/plain	date:Thu,%2014%20Nov%202024%2000:41:03%20GMT	http://roofing.local/robots.txt		(from )
19:41:05	237492/237492	---MCZ	200	added ('OK')	text/html	date:Thu,%2014%20Nov%202024%2000:41:03%20GMT	http://roofing.local/	C:/Users/Darrell/Downloads/MSR%20Roofing%201/roofing.local/index.html	(from )
19:41:06	42844/42844	---MCZ	200	added ('OK')	text/css	etag:W/%22661d2bb5-a75c%22	http://roofing.local/wp-content/themes/astra/assets/css/minified/main.min.css?ver=4.6.11	C:/Users/Darrell/Downloads/MSR%20Roofing%201/roofing.local/wp-content/themes/astra/assets/css/minified/main.mina07c.css	(from http://roofing.local/)
19:41:06	118630/118630	---MCZ	200	added ('OK')	text/css	etag:W/%22661d2bd1-1cf66%22	http://roofing.local/wp-content/plugins/elementor/assets/css/frontend-lite.min.css?ver=3.20.4	C:/Users/Darrell/Downloads/MSR%20Roofing%201/roofing.local/wp-content/plugins/elementor/assets/css/frontend-lite.min021f.css	(from http://roofing.local/)
19:41:06	16471/16471	---MCZ	200	added ('OK')	text/css	etag:W/%22661d2c06-4057%22	http://roofing.local/wp-content/plugins/elementor/assets/lib/swiper/v8/css/swiper.min.css?ver=8.4.5	C:/Users/Darrell/Downloads/MSR%20Roofing%201/roofing.local/wp-content/plugins/elementor/assets/lib/swiper/v8/css/swiper.min94a4.css	(from http://roofing.local/)
19:41:06	1109/1109	---MCZ	200	added ('OK')	text/css	etag:W/%22661d2d1f-455%22	http://roofing.local/wp-content/uploads/elementor/css/post-636.css?ver=1713188127	C:/Users/Darrell/Downloads/MSR%20Roofing%201/roofing.local/wp-content/uploads/elementor/css/post-6365693.css	(from http://roofing.local/)
19:41:07	74787/74787	---MCZ	200	added ('OK')	text/css	etag:W/%22672fc770-12423%22	http://roofing.local/wp-content/uploads/elementor/css/post-635.css?ver=1731184496	C:/Users/Darrell/Downloads/MSR%20Roofing%201/roofing.local/wp-content/uploads/elementor/css/post-6359120.css	(from http://roofing.local/)
19:41:07	1599/1599	---MC-	200	added ('OK')	application/rss+xml	etag:%228a5e7d9a56920ce2af04f7d020192910%22	http://roofing.local/feed/	C:/Users/Darrell/Downloads/MSR%20Roofing%201/roofing.local/feed/index.html	(from http://roofing.local/)
19:41:07	1608/1608	---MC-	200	added ('OK')	application/rss+xml	etag:%228a5e7d9a56920ce2af04f7d020192910%22	http://roofing.local/comments/feed/	C:/Users/Darrell/Downloads/MSR%20Roofing%201/roofing.local/comments/feed/index.html	(from http://roofing.local/)
19:41:08	298439/298439	---MCZ	200	added ('OK')	application/json	date:Thu,%2014%20Nov%202024%2000:41:08%20GMT	http://roofing.local/wp-json/	C:/Users/Darrell/Downloads/MSR%20Roofing%201/roofing.local/wp-json/index.html	(from http://roofing.local/)
19:41:09	85536/85536	---MCZ	200	added ('OK')	application/json	date:Thu,%2014%20Nov%202024%2000:41:08%20GMT	http://roofing.local/wp-json/wp/v2/pages/635	C:/Users/Darrell/Downloads/MSR%20Roofing%201/roofing.local/wp-json/wp/v2/pages/635.json	(from http://roofing.local/)
19:41:09	786/786	---MCZ	200	added ('OK')	text/xml	date:Thu,%2014%20Nov%202024%2000:41:09%20GMT	http://roofing.local/xmlrpc.php?rsd	C:/Users/Darrell/Downloads/MSR%20Roofing%201/roofing.local/xmlrpc0db0.php	(from http://roofing.local/)
19:41:10	2001/2001	---MCZ	200	added ('OK')	application/json	date:Thu,%2014%20Nov%202024%2000:41:10%20GMT	http://roofing.local/wp-json/oembed/1.0/embed?url=http%3A%2F%2Froofing.local%2F	C:/Users/Darrell/Downloads/MSR%20Roofing%201/roofing.local/wp-json/oembed/1.0/embedf5bb.json	(from http://roofing.local/)
19:41:11	2163/2163	---MCZ	200	added ('OK')	text/xml	date:Thu,%2014%20Nov%202024%2000:41:11%20GMT	http://roofing.local/wp-json/oembed/1.0/embed?url=http%3A%2F%2Froofing.local%2F&format=xml	C:/Users/Darrell/Downloads/MSR%20Roofing%201/roofing.local/wp-json/oembed/1.0/embed9acf	(from http://roofing.local/)
19:41:11	4309/4309	---M--	200	added ('OK')	image/png	etag:%22673546ad-10d5%22	http://roofing.local/wp-content/uploads/2021/06/house-logo1-80x34.png	C:/Users/Darrell/Downloads/MSR%20Roofing%201/roofing.local/wp-content/uploads/2021/06/house-logo1-80x34.png	(from http://roofing.local/)
19:41:18	177823/177823	---MCZ	200	added ('OK')	text/html	date:Thu,%2014%20Nov%202024%2000:41:14%20GMT	http://roofing.local/services/	C:/Users/Darrell/Downloads/MSR%20Roofing%201/roofing.local/services/index.html	(from http://roofing.local/)
19:41:19	188327/188327	---MCZ	200	added ('OK')	text/html	date:Thu,%2014%20Nov%202024%2000:41:13%20GMT	http://roofing.local/about/	C:/Users/Darrell/Downloads/MSR%20Roofing%201/roofing.local/about/index.html	(from http://roofing.local/)
